PAC,long,lat
180756505,-45.463638525397585,-22.418040578409943
526421B,-45.46344494632717,-22.41826698093638
180756504,-45.46321292123929,-22.41861996753744
526869B,-45.46324029390439,-22.421013870193917
150067477,-45.463181275895124,-22.420797226210993
150067477,-45.463181275895124,-22.420797226210993
150067477,-45.463181275895124,-22.420797226210993
181825903,-45.46304350695226,-22.420273655304925
526911B,-45.4632497484771,-22.43264948498569
526918B,-45.463180527659176,-22.432288328943173
175656174,-45.46311130684131,-22.431927172001338
526932B,-45.46304199699051,-22.43153891398964
160016877,-45.46299248121801,-22.431259006298035
526946B,-45.46295295331612,-22.431060373937044
526960B,-45.46283976014678,-22.43209056083066
527002B,-45.46246099268063,-22.432154882142072
527037B,-45.46270380693511,-22.432118051306986
175656172,-45.46314078841664,-22.432026460752525
175656172,-45.46314078841664,-22.432026460752525
175656172,-45.46314078841664,-22.432026460752525
527086B,-45.46308765647012,-22.418936512709877
181825905,-45.4630300764768,-22.419153491240593
527107B,-45.462984219146335,-22.419975707213098
181825904,-45.4629533031524,-22.419442795948214
527121B,-45.462964037460324,-22.41974991802425
527261B,-45.46263845500067,-22.4270592658724
527282B,-45.46228852249726,-22.427024132058023
527289B,-45.46198681703794,-22.42688045277066
147739400,-45.461636437571485,-22.426709810909017
160016878,-45.46290334851068,-22.430753364276313
527317B,-45.46283415916906,-22.430401241024413
527359B,-45.46330708925075,-22.41771630896045
527366B,-45.46322045126277,-22.41796047219799
527373B,-45.4631241860323,-22.41823176438436
160316783,-45.462959935652464,-22.418512286312932
527387B,-45.46283046115684,-22.420491079000044
155704229,-45.46281520685625,-22.418819852654053
527401B,-45.46273215806258,-22.42014807307504
527408B,-45.46267272186856,-22.419804955634163
155704228,-45.46269947759879,-22.419082167807744
155704228,-45.46269947759879,-22.419082167807744
527422B,-45.462652092320184,-22.419443658398052
527436B,-45.46235120974052,-22.41954389323604
527436B,-45.46235120974052,-22.41954389323604
527450B,-45.46281427515862,-22.43026578963446
160016879,-45.46276506065897,-22.430076219741693
527464B,-45.46271542617592,-22.42976017549165
527478B,-45.462637029575205,-22.42956165464659
527604B,-45.4623908923258,-22.42565972201851
527625B,-45.46209899667133,-22.42554311682136
527632B,-45.462050591561535,-22.42559745835598
527716B,-45.46242235420823,-22.429291253688348
527723B,-45.46238282720566,-22.429092621327356
527723B,-45.46238282720566,-22.429092621327356
159512862,-45.46226556370476,-22.428894211098907
128399023,-45.46212127197907,-22.429337284587973
527772B,-45.46183959352237,-22.42937422514035
160016881,-45.462461073619636,-22.429245972823367
160016881,-45.462461073619636,-22.429245972823367
527793B,-45.46201151242133,-22.42847034533014
527800B,-45.46186459017866,-22.42811844421078
176026881,-45.462689792799665,-22.433753223832184
