Time, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "13.8 kV Losses", "0.22 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "13.8 kV Line Loss", "0.22 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "13.8 kV Load Loss", "0.22 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "13.8 kV No Load Loss", "0.22 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "13.8 kV Load Energy", "0.22 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25"
11, 5658.7638747317, 2518.42364695546, 5658.7638747317, 6193.87328377913, 2706.87629889579, 1165.33800926268, 2706.87629889579, 2947.06497610013, 54.7385853060756, 11.8412594709271, 1089.0848692845, 591.088896634283, 122.621438426945, 94.0742433596664, 122.621438426945, 94.0742433596664, 75.5802402025828, 94.0742433596664, 47.0411982243616, -6.73725045276031E-017, 75.5802402025828, 47.4066124895919, 63.9556303391675, 58.6658080877771, 25.4548047150277, 0.00112315681764258, 25.4559278529311, 38.4997024862365, 0, 0, 0, 0, 79.517741134683, 43.1036972922617, 0, 0, 0, 0, 0, 20.8519330469058, 43.1036972922617, 0, 0, 0, 0, 0, 11.6246098634155, 0, 0, 0, 0, 0, 0, 47.0411982243616, 0, 0, 0, 0, 0, 0, 831.697255452345, 1875.17904344345, 0, 0, 0, 0, 0
12, 5294.23055793367, 2341.17819737846, 5658.7638747317, 6193.87328377913, 2537.68127229487, 1095.03470804433, 2706.87629889579, 2947.06497610013, 52.3056506960654, 0, 810.102878229147, 475.182786055525, 109.535480344293, 75.7281988121139, 122.621438426945, 94.0742433596664, 62.3687155777861, 75.7281988121139, 47.1667647665066, -1.60552829781963E-016, 75.5802402025828, 47.4066124895919, 53.3626557204779, 56.1728246238148, 22.741983543092, 0.00112341581636629, 22.7431069419586, 30.6195487785195, 0, 0, 0, 0, 74.5762726309918, 34.9592077133009, 0, 0, 0, 0, 0, 18.403448007177, 34.9592077133009, 0, 0, 0, 0, 0, 9.00605985730815, 0, 0, 0, 0, 0, 0, 47.1667647665066, 0, 0, 0, 0, 0, 0, 850.264118311357, 1687.41715398351, 0, 0, 0, 0, 0
13, 5449.37303079635, 2411.48826364008, 5658.7638747317, 6193.87328377913, 2615.50830804819, 1126.65513192731, 2706.87629889579, 2947.06497610013, 44.2569621332853, 0, 876.080227555153, 514.437063522441, 109.284471229848, 79.2742467654808, 122.621438426945, 94.0742433596664, 62.1859071030649, 79.2742467654808, 47.0985641267835, 1.32065005308438E-016, 75.5802402025828, 47.4066124895919, 52.7879538333526, 56.4965173964958, 23.3800324822131, 0.00097497687388806, 23.3810074412729, 29.4069463920795, 0, 0, 0, 0, 76.4408942835999, 32.8435769462484, 0, 0, 0, 0, 0, 19.944376887104, 32.8435769462484, 0, 0, 0, 0, 0, 9.39795326971229, 0, 0, 0, 0, 0, 0, 47.0985641267835, 0, 0, 0, 0, 0, 0, 836.757482491753, 1778.75082555643, 0, 0, 0, 0, 0
14, 5374.04927714456, 2378.84950340665, 5658.7638747317, 6193.87328377913, 2576.54981516103, 1110.00453566417, 2706.87629889579, 2947.06497610013, 42.5414744733874, 6.96672386409696, 852.034382961901, 522.803451856205, 110.578292929012, 79.6003410104417, 122.621438426945, 94.0742433596664, 63.4465807963351, 79.6003410104417, 47.131712132677, 4.07595055721195E-017, 75.5802402025828, 47.4066124895919, 53.7250197767228, 56.8532731522892, 23.2866373206043, 0.00136833651421139, 23.2880056396635, 30.4370141370597, 0, 0, 0, 0, 75.9379440326467, 34.6403488963657, 0, 0, 0, 0, 0, 19.0846708803575, 34.6403488963657, 0, 0, 0, 0, 0, 9.72156101961222, 0, 0, 0, 0, 0, 0, 47.131712132677, 0, 0, 0, 0, 0, 0, 839.362316444337, 1737.1874987167, 0, 0, 0, 0, 0
15, 5628.7711677196, 2505.86018117095, 5658.7638747317, 6193.87328377913, 2694.98172555144, 1161.61069367257, 2706.87629889579, 2947.06497610013, 56.5155816668956, 11.2341845027235, 1020.03769012212, 543.059526701789, 119.517119430201, 91.5174012516087, 122.621438426945, 94.0742433596664, 72.4708087572168, 91.5174012516087, 47.046310672984, 2.22327157834955E-016, 75.5802402025828, 47.4066124895919, 61.1778507311625, 58.3392686990383, 25.3752084032114, 0.00167952866434605, 25.3768879127295, 35.8009628184329, 0, 0, 0, 0, 79.3114850588815, 40.2056343713192, 0, 0, 0, 0, 0, 20.9722163598433, 40.2056343713192, 0, 0, 0, 0, 0, 11.2929580260542, 0, 0, 0, 0, 0, 0, 47.046310672984, 0, 0, 0, 0, 0, 0, 850.279945762335, 1844.7017797891, 0, 0, 0, 0, 0
16, 5938.63807341726, 2652.03735508716, 5938.63807341726, 6503.90069879751, 2844.08642745132, 1223.43455817769, 2844.08642745132, 3096.06520037228, 55.5546602436694, 7.9733184267378, 1144.38661973062, 671.460654836179, 125.362654062472, 102.80441718821, 125.362654062472, 102.80441718821, 78.4277043373759, 102.80441718821, 46.9349497250964, -1.94031338283738E-016, 78.4277043373759, 47.4066124895919, 65.8823686392159, 59.4802854232568, 28.0684870014416, 0.00191311397493755, 28.0704000941396, 37.8119685450761, 0, 0, 0, 0, 82.9385429112666, 42.4241111512063, 0, 0, 0, 0, 0, 23.4582574880096, 42.4241111512063, 0, 0, 0, 0, 0, 12.5453356981604, 0, 0, 0, 0, 0, 0, 46.9349497250964, 0, 0, 0, 0, 0, 0, 849.356099304113, 1994.7303281472, 0, 0, 0, 0, 0
17, 6663.74369214972, 3009.72366017076, 6663.74369214972, 7311.90238619587, 3187.53062217243, 1365.61530145845, 3187.53062217243, 3467.74517790227, 52.2375502238547, 12.6117693992092, 1526.13235117621, 1112.2847042545, 144.502237301234, 139.526795183842, 144.502237301234, 139.526795183842, 97.8352616690619, 139.526795183842, 46.6669756321719, -6.14176702101092E-017, 97.8352616690619, 47.4066124895919, 80.3841942615911, 64.1180430396423, 36.5865075577603, 0.00177375008851718, 36.5882812801653, 43.7959129814267, 0, 0, 0, 0, 94.4945194752249, 50.0077178260096, 0, 0, 0, 0, 0, 30.3764764355825, 50.0077178260096, 0, 0, 0, 0, 0, 17.4510674074705, 0, 0, 0, 0, 0, 0, 46.6669756321719, 0, 0, 0, 0, 0, 0, 859.973547810716, 2327.55707436172, 0, 0, 0, 0, 0
18, 7476.51236332345, 3393.57384333678, 7476.51236332345, 8210.6382546735, 3573.74294205218, 1523.43975469186, 3573.74294205218, 3884.90763108254, 55.1175972423105, 10.7025215482376, 1708.08947775586, 1002.19103252798, 164.715678301438, 173.701456748683, 164.715678301438, 173.701456748683, 118.321735185497, 173.701456748683, 46.3939431159419, 2.37863480369827E-017, 118.321735185497, 47.4066124895919, 97.2322637734426, 67.4834145279963, 44.8851587776422, 0.00563784314393191, 44.8907965871156, 52.341467186327, 0, 0, 0, 0, 105.571703896262, 59.1439744051765, 0, 0, 0, 0, 0, 38.088289368266, 59.1439744051765, 0, 0, 0, 0, 0, 21.0894714120544, 0, 0, 0, 0, 0, 0, 46.3939431159419, 0, 0, 0, 0, 0, 0, 846.201656651957, 2727.5412854002, 0, 0, 0, 0, 0
19, 7938.66396105182, 3604.779436073, 7938.66396105182, 8718.76254231286, 3787.09772452605, 1608.43879901538, 3787.09772452605, 4114.50902846117, 115.513303320998, 8.08234271964254, 2018.50637687343, 887.948570404176, 182.462348731722, 194.350935376861, 182.462348731722, 194.350935376861, 136.24394497907, 194.350935376861, 46.2184037526532, -2.3662043032994E-016, 136.24394497907, 47.4066124895919, 113.578608925823, 68.8837398058996, 54.3438175966359, 0.00727497897081907, 54.3510925351791, 59.227516390645, 0, 0, 0, 0, 113.024279863985, 69.4380688677384, 0, 0, 0, 0, 0, 44.1405400580855, 69.4380688677384, 0, 0, 0, 0, 0, 22.6653360532464, 0, 0, 0, 0, 0, 0, 46.2184037526532, 0, 0, 0, 0, 0, 0, 852.287424818715, 2934.81029970734, 0, 0, 0, 0, 0
20, 7500.26407446127, 3393.07216953628, 7938.66396105182, 8718.76254231286, 3576.64974909243, 1521.63441380801, 3787.09772452605, 4114.50902846117, 98.1112250390156, 2.21939069415972, 1770.39872982521, 792.54397558322, 173.687133461455, 175.257226053579, 182.462348731722, 194.350935376861, 127.325797542252, 175.257226053579, 46.3613359192041, 1.03000486090526E-016, 136.24394497907, 47.4066124895919, 106.971253625061, 66.715879836395, 51.961032392765, 0.00492480144113731, 51.9659571564297, 55.0052964686314, 0, 0, 0, 0, 106.556681428875, 67.1304520325807, 0, 0, 0, 0, 0, 39.8408015924803, 67.1304520325807, 0, 0, 0, 0, 0, 20.3545439171909, 0, 0, 0, 0, 0, 0, 46.3613359192041, 0, 0, 0, 0, 0, 0, 857.984246608366, 2718.66550248406, 0, 0, 0, 0, 0
21, 7299.76638274172, 3306.23196194463, 7938.66396105182, 8718.76254231286, 3489.56342463823, 1486.67475933067, 3787.09772452605, 4114.50902846117, 32.3768400350191, 0, 1373.81841228205, 992.903969334115, 160.512379281625, 166.778546305938, 182.462348731722, 194.350935376861, 114.078993136848, 166.778546305938, 46.4333861447778, -1.85330147071542E-016, 136.24394497907, 47.4066124895919, 94.0117456517412, 66.500633629885, 47.5890318570856, 0.0042750677817319, 47.5933068900466, 46.4184387616938, 0, 0, 0, 0, 103.30489346046, 57.2074858211653, 0, 0, 0, 0, 0, 36.8042598305754, 57.2074858211653, 0, 0, 0, 0, 0, 20.0672474851071, 0, 0, 0, 0, 0, 0, 46.4333861447778, 0, 0, 0, 0, 0, 0, 850.575123160232, 2638.98830147799, 0, 0, 0, 0, 0
22, 6603.39999796258, 2959.3311113687, 7938.66396105182, 8718.76254231286, 3176.17077391121, 1359.04901858872, 3787.09772452605, 4114.50902846117, 23.4571973541215, 0, 896.393025288236, 664.290388002726, 125.686380173445, 120.890802599439, 182.462348731722, 194.350935376861, 79.0246188645057, 120.890802599439, 46.6617613089388, 1.91404599034408E-017, 136.24394497907, 47.4066124895919, 64.971434065676, 60.7149461077689, 34.9572954026822, 0.00310641934434345, 34.960401795304, 30.0110322703717, 0, 0, 0, 0, 91.3860884917382, 34.3002916817066, 0, 0, 0, 0, 0, 30.6711423839693, 34.3002916817066, 0, 0, 0, 0, 0, 14.05318479883, 0, 0, 0, 0, 0, 0, 46.6617613089388, 0, 0, 0, 0, 0, 0, 846.702291684656, 2329.46848222656, 0, 0, 0, 0, 0
23, 5847.13921401646, 2601.64878398052, 7938.66396105182, 8718.76254231286, 2819.70999449069, 1213.80987547629, 3787.09772452605, 4114.50902846117, 15.3781629340217, 0, 624.478305680345, 511.644643225703, 103.976158870061, 87.2312196331012, 182.462348731722, 194.350935376861, 57.069606176881, 87.2312196331012, 46.9065526931789, -7.61532070722198E-017, 136.24394497907, 47.4066124895919, 47.2424918861245, 56.7336669839354, 26.8218260247477, 0.00208397972556135, 26.8239099833156, 20.4185819028092, 0, 0, 0, 0, 81.4605167763905, 22.51564209367, 0, 0, 0, 0, 0, 24.7268497924549, 22.51564209367, 0, 0, 0, 0, 0, 9.82711429075658, 0, 0, 0, 0, 0, 0, 46.9065526931789, 0, 0, 0, 0, 0, 0, 848.53116806618, 1971.17882642451, 0, 0, 0, 0, 0
24, 5172.57018576585, 2284.53769822225, 7938.66396105182, 8718.76254231286, 2496.97035819703, 1079.79788132758, 3787.09772452605, 4114.50902846117, 26.9735930029848, 0, 515.469346611068, 387.434935349928, 89.4076494295092, 62.6394192042072, 182.462348731722, 194.350935376861, 42.2665055909156, 62.6394192042072, 47.1411438385935, 2.57060151824695E-016, 136.24394497907, 47.4066124895919, 35.3138241130247, 54.0938253164844, 20.5843960780774, 0.00142198978401892, 20.5858180514305, 14.7280060615943, 0, 0, 0, 0, 73.3359805287819, 16.0716689007275, 0, 0, 0, 0, 0, 19.2421552122973, 16.0716689007275, 0, 0, 0, 0, 0, 6.95268147789092, 0, 0, 0, 0, 0, 0, 47.1411438385935, 0, 0, 0, 0, 0, 0, 836.620569618114, 1660.34978857892, 0, 0, 0, 0, 0
