"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "13.8 kV Losses", "0.22 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "13.8 kV Line Loss", "0.22 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "13.8 kV Load Loss", "0.22 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "13.8 kV No Load Loss", "0.22 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "13.8 kV Load Energy", "0.22 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25"
11, 2829.38193736585, 1259.21182347773, 2829.38193736585, 3096.93664188957, 2706.87629889579, 1165.33800926268, 2706.87629889579, 2947.06497610013, 54.7385853060756, 11.8412594709271, 1089.0848692845, 591.088896634283, 122.506141808104, 93.8737459459089, 122.506141808104, 93.8737459459089, 75.4649435837427, 93.8737459459089, 47.0411982243616, -6.73725045276031E-017, 75.4649435837427, 47.4066124895919, 63.8403337203274, 58.6658080877771, 25.3395129367513, 0.00111831615879654, 25.340631234091, 38.4997024862365, 0, 0, 0, 0, 79.402444515843, 43.1036972922617, 0, 0, 0, 0, 0, 20.7366364280657, 43.1036972922617, 0, 0, 0, 0, 0, 11.6246098634155, 0, 0, 0, 0, 0, 0, 47.0411982243616, 0, 0, 0, 0, 0, 0, 831.697255452345, 1875.17904344345, 0, 0, 0, 0, 0
12, 2647.11527896684, 1170.58909868923, 2829.38193736585, 3096.93664188957, 2537.68127229487, 1095.03470804433, 2706.87629889579, 2947.06497610013, 52.3056506960654, 0, 810.102878229147, 475.182786055525, 109.434790037456, 75.5534354647592, 122.506141808104, 93.8737459459089, 62.2680252709488, 75.5534354647592, 47.1667647665066, -1.60552829781963E-016, 75.4649435837427, 47.4066124895919, 53.2619654136406, 56.1728246238148, 22.6412981385088, 0.00111851348012627, 22.6424166351213, 30.6195487785195, 0, 0, 0, 0, 74.4755823241545, 34.9592077133009, 0, 0, 0, 0, 0, 18.3027577003397, 34.9592077133009, 0, 0, 0, 0, 0, 9.00605985730815, 0, 0, 0, 0, 0, 0, 47.1667647665066, 0, 0, 0, 0, 0, 0, 850.264118311357, 1687.41715398351, 0, 0, 0, 0, 0
13, 2724.68651539818, 1205.74413182004, 2829.38193736585, 3096.93664188957, 2615.50830804819, 1126.65513192731, 2706.87629889579, 2947.06497610013, 44.2569621332853, 0, 876.080227555153, 514.437063522441, 109.177806316047, 79.088957747275, 122.506141808104, 93.8737459459089, 62.0792421892633, 79.088957747275, 47.0985641267835, 1.32065005308438E-016, 75.4649435837427, 47.4066124895919, 52.681288919551, 56.4965173964958, 23.2733711277557, 0.000971417441685777, 23.2743425274713, 29.4069463920795, 0, 0, 0, 0, 76.3342293697983, 32.8435769462484, 0, 0, 0, 0, 0, 19.8377119733024, 32.8435769462484, 0, 0, 0, 0, 0, 9.39795326971229, 0, 0, 0, 0, 0, 0, 47.0985641267835, 0, 0, 0, 0, 0, 0, 836.757482491753, 1778.75082555643, 0, 0, 0, 0, 0
14, 2687.02463857228, 1189.42475170333, 2829.38193736585, 3096.93664188957, 2576.54981516103, 1110.00453566417, 2706.87629889579, 2947.06497610013, 42.5414744733874, 6.96672386409696, 852.034382961901, 522.803451856205, 110.474513684072, 79.4201351302217, 122.506141808104, 93.8737459459089, 63.3428015513946, 79.4201351302217, 47.131712132677, 4.07595055721195E-017, 75.4649435837427, 47.4066124895919, 53.6212405317823, 56.8532731522892, 23.1828635629292, 0.00136284916395131, 23.184226394723, 30.4370141370597, 0, 0, 0, 0, 75.8341647877062, 34.6403488963657, 0, 0, 0, 0, 0, 18.980891635417, 34.6403488963657, 0, 0, 0, 0, 0, 9.72156101961222, 0, 0, 0, 0, 0, 0, 47.131712132677, 0, 0, 0, 0, 0, 0, 839.362316444337, 1737.1874987167, 0, 0, 0, 0, 0
15, 2814.3855838598, 1252.93009058547, 2829.38193736585, 3096.93664188957, 2694.98172555144, 1161.61069367257, 2706.87629889579, 2947.06497610013, 56.5155816668956, 11.2341845027235, 1020.03769012212, 543.059526701789, 119.40306035606, 91.3190829491603, 122.506141808104, 93.8737459459089, 72.3567496830754, 91.3190829491603, 47.046310672984, 2.22327157834955E-016, 75.4649435837427, 47.4066124895919, 61.0637916570211, 58.3392686990383, 25.2611566438632, 0.0016722137780285, 25.2628288385881, 35.8009628184329, 0, 0, 0, 0, 79.1974259847401, 40.2056343713192, 0, 0, 0, 0, 0, 20.8581572857019, 40.2056343713192, 0, 0, 0, 0, 0, 11.2929580260542, 0, 0, 0, 0, 0, 0, 47.046310672984, 0, 0, 0, 0, 0, 0, 850.279945762335, 1844.7017797891, 0, 0, 0, 0, 0
16, 2969.31903670863, 1326.01867754358, 2969.31903670863, 3251.95034939875, 2844.08642745132, 1223.43455817769, 2844.08642745132, 3096.06520037228, 55.5546602436694, 7.9733184267378, 1144.38661973062, 671.460654836179, 125.235554961947, 102.583123524662, 125.235554961947, 102.583123524662, 78.3006052368508, 102.583123524662, 46.9349497250964, -1.94031338283738E-016, 78.3006052368508, 47.4066124895919, 65.7552695386908, 59.4802854232568, 27.9413968367174, 0.00190417806910744, 27.9433009936144, 37.8119685450761, 0, 0, 0, 0, 82.8114438107414, 42.4241111512063, 0, 0, 0, 0, 0, 23.3311583874845, 42.4241111512063, 0, 0, 0, 0, 0, 12.5453356981604, 0, 0, 0, 0, 0, 0, 46.9349497250964, 0, 0, 0, 0, 0, 0, 849.356099304113, 1994.7303281472, 0, 0, 0, 0, 0
17, 3331.87184607486, 1504.86183008538, 3331.87184607486, 3655.95119309794, 3187.53062217243, 1365.61530145845, 3187.53062217243, 3467.74517790227, 52.2375502238547, 12.6117693992092, 1526.13235117621, 1112.2847042545, 144.341618748652, 139.246446331238, 144.341618748652, 139.246446331238, 97.6746431164798, 139.246446331238, 46.6669756321719, -6.14176702101092E-017, 97.6746431164798, 47.4066124895919, 80.223575709009, 64.1180430396423, 36.4258960226844, 0.00176673245068335, 36.4276627275832, 43.7959129814267, 0, 0, 0, 0, 94.3339009226428, 50.0077178260096, 0, 0, 0, 0, 0, 30.2158578830004, 50.0077178260096, 0, 0, 0, 0, 0, 17.4510674074705, 0, 0, 0, 0, 0, 0, 46.6669756321719, 0, 0, 0, 0, 0, 0, 859.973547810716, 2327.55707436172, 0, 0, 0, 0, 0
18, 3738.25618166172, 1696.78692166839, 3738.25618166172, 4105.31912733675, 3573.74294205218, 1523.43975469186, 3573.74294205218, 3884.90763108254, 55.1175972423105, 10.7025215482376, 1708.08947775586, 1002.19103252798, 164.51305488882, 173.347095229793, 164.51305488882, 173.347095229793, 118.119111772879, 173.347095229793, 46.3939431159419, 2.37863480369827E-017, 118.119111772879, 47.4066124895919, 97.0296403608242, 67.4834145279963, 44.6825552339212, 0.00561797408175499, 44.6881731744972, 52.341467186327, 0, 0, 0, 0, 105.369080483644, 59.1439744051765, 0, 0, 0, 0, 0, 37.8856659556476, 59.1439744051765, 0, 0, 0, 0, 0, 21.0894714120544, 0, 0, 0, 0, 0, 0, 46.3939431159419, 0, 0, 0, 0, 0, 0, 846.201656651957, 2727.5412854002, 0, 0, 0, 0, 0
19, 3969.33198052591, 1802.3897180365, 3969.33198052591, 4359.38127115643, 3787.09772452605, 1608.43879901538, 3787.09772452605, 4114.50902846117, 115.513303320998, 8.08234271964254, 2018.50637687343, 887.948570404176, 182.234016097168, 193.951275005754, 182.234016097168, 193.951275005754, 136.015612344515, 193.951275005754, 46.2184037526532, -2.3662043032994E-016, 136.015612344515, 47.4066124895919, 113.350276291269, 68.8837398058996, 54.1155109962797, 0.0072489445845459, 54.1227599006244, 59.227516390645, 0, 0, 0, 0, 112.79594722943, 69.4380688677384, 0, 0, 0, 0, 0, 43.9122074235308, 69.4380688677384, 0, 0, 0, 0, 0, 22.6653360532464, 0, 0, 0, 0, 0, 0, 46.2184037526532, 0, 0, 0, 0, 0, 0, 852.287424818715, 2934.81029970734, 0, 0, 0, 0, 0
20, 3750.13203723064, 1696.53608476814, 3969.33198052591, 4359.38127115643, 3576.64974909243, 1521.63441380801, 3787.09772452605, 4114.50902846117, 98.1112250390156, 2.21939069415972, 1770.39872982521, 792.54397558322, 173.483546633317, 174.901167380176, 182.234016097168, 193.951275005754, 127.122210714114, 174.901167380176, 46.3613359192041, 1.03000486090526E-016, 136.015612344515, 47.4066124895919, 106.767666796923, 66.715879836395, 51.7574649674341, 0.00490539846692946, 51.7623703282917, 55.0052964686314, 0, 0, 0, 0, 106.353094600737, 67.1304520325807, 0, 0, 0, 0, 0, 39.6372147643423, 67.1304520325807, 0, 0, 0, 0, 0, 20.3545439171909, 0, 0, 0, 0, 0, 0, 46.3613359192041, 0, 0, 0, 0, 0, 0, 857.984246608366, 2718.66550248406, 0, 0, 0, 0, 0
21, 3649.88319137086, 1653.11598097232, 3969.33198052591, 4359.38127115643, 3489.56342463823, 1486.67475933067, 3787.09772452605, 4114.50902846117, 32.3768400350191, 0, 1373.81841228205, 992.903969334115, 160.31950208802, 166.44135764865, 182.234016097168, 193.951275005754, 113.886115943243, 166.44135764865, 46.4333861447778, -1.85330147071542E-016, 136.015612344515, 47.4066124895919, 93.8188684581362, 66.500633629885, 47.3961715426347, 0.00425818846850421, 47.4004296964416, 46.4184387616938, 0, 0, 0, 0, 103.112016266855, 57.2074858211653, 0, 0, 0, 0, 0, 36.6113826369703, 57.2074858211653, 0, 0, 0, 0, 0, 20.0672474851071, 0, 0, 0, 0, 0, 0, 46.4333861447778, 0, 0, 0, 0, 0, 0, 850.575123160232, 2638.98830147799, 0, 0, 0, 0, 0
22, 3301.69999898129, 1479.66555568435, 3969.33198052591, 4359.38127115643, 3176.17077391121, 1359.04901858872, 3787.09772452605, 4114.50902846117, 23.4571973541215, 0, 896.393025288236, 664.290388002726, 125.529065236756, 120.616272064413, 182.234016097168, 193.951275005754, 78.8673039278164, 120.616272064413, 46.6617613089388, 1.91404599034408E-017, 136.015612344515, 47.4066124895919, 64.8141191289866, 60.7149461077689, 34.7999917246286, 0.00309516057874753, 34.8030868586147, 30.0110322703717, 0, 0, 0, 0, 91.2287735550488, 34.3002916817066, 0, 0, 0, 0, 0, 30.51382744728, 34.3002916817066, 0, 0, 0, 0, 0, 14.05318479883, 0, 0, 0, 0, 0, 0, 46.6617613089388, 0, 0, 0, 0, 0, 0, 846.702291684656, 2329.46848222656, 0, 0, 0, 0, 0
23, 2923.56960700823, 1300.82439199026, 3969.33198052591, 4359.38127115643, 2819.70999449069, 1213.80987547629, 3787.09772452605, 4114.50902846117, 15.3781629340217, 0, 624.478305680345, 511.644643225703, 103.853136893902, 87.0171100735019, 182.234016097168, 193.951275005754, 56.9465842007219, 87.0171100735019, 46.9065526931789, -7.61532070722198E-017, 136.015612344515, 47.4066124895919, 47.1194699099654, 56.7336669839354, 26.6988113348678, 0.00207669334452337, 26.7008880071566, 20.4185819028092, 0, 0, 0, 0, 81.3374948002314, 22.51564209367, 0, 0, 0, 0, 0, 24.6038278162959, 22.51564209367, 0, 0, 0, 0, 0, 9.82711429075658, 0, 0, 0, 0, 0, 0, 46.9065526931789, 0, 0, 0, 0, 0, 0, 848.53116806618, 1971.17882642451, 0, 0, 0, 0, 0
24, 2586.28509288292, 1142.26884911113, 3969.33198052591, 4359.38127115643, 2496.97035819703, 1079.79788132758, 3787.09772452605, 4114.50902846117, 26.9735930029848, 0, 515.469346611068, 387.434935349928, 89.3116302015789, 62.4728852999338, 182.234016097168, 193.951275005754, 42.1704863629854, 62.4728852999338, 47.1411438385935, 2.57060151824695E-016, 136.015612344515, 47.4066124895919, 35.2178048850945, 54.0938253164844, 20.4883823033497, 0.00141653650170225, 20.4897988235003, 14.7280060615943, 0, 0, 0, 0, 73.2399613008517, 16.0716689007275, 0, 0, 0, 0, 0, 19.1461359843671, 16.0716689007275, 0, 0, 0, 0, 0, 6.95268147789092, 0, 0, 0, 0, 0, 0, 47.1411438385935, 0, 0, 0, 0, 0, 0, 836.620569618114, 1660.34978857892, 0, 0, 0, 0, 0
